##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时32分07秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时32分10秒.970,6,13,26,19,31,36,39,6,5,5,6,5,6,5,8,6,6,5,6,5,6,5,5,5,6,10,14,14,16,18,22,6,5,10,13,12,16,15,14,5,5,9,11,9,11,10,10,6,5,10,13,12,16,17,20,5,6,10,13,12,17,16,13,4,5,11,20,17,43,29,24,5,6,11,19,16,29,32,23,4,5,13,24,19,40,49,33,5,5,12,25,20,34,40,27,5,1371.0,4.0,49.0,14.28,96.0,0.7239383816328231,4.337345123291016,6.780087471008301
14时32分11秒.069,5,13,26,18,31,36,41,5,5,5,4,6,6,5,6,6,5,5,5,5,5,4,5,5,5,10,14,14,18,18,22,5,5,10,13,12,15,15,14,5,5,8,9,10,10,11,11,5,5,10,13,12,16,17,19,5,6,9,13,11,17,16,16,5,6,11,20,17,43,29,23,5,6,11,19,16,29,32,23,5,5,13,24,19,40,49,32,5,6,12,25,20,34,40,27,6,1363.0,4.0,49.0,14.2,96.0,0.7346109226601463,4.337345123291016,6.780087471008301
14时32分11秒.169,5,13,26,18,32,36,41,6,5,6,4,4,5,6,5,5,5,5,6,5,5,5,5,5,5,11,14,13,16,18,21,5,5,10,13,12,14,15,14,5,6,8,9,9,10,11,11,4,5,10,13,12,16,17,19,5,5,9,13,13,17,16,13,6,5,11,20,17,43,29,23,5,4,11,19,16,29,32,24,5,5,11,23,19,40,49,32,5,5,12,25,18,34,40,27,5,1349.0,4.0,49.0,14.05,96.0,0.7450545618170925,4.337345123291016,6.780087471008301
14时32分11秒.252,5,13,26,18,32,36,41,5,5,5,6,5,6,5,6,5,5,5,4,5,4,5,5,5,5,10,14,12,16,17,21,4,5,9,13,12,14,15,14,5,6,7,10,8,11,9,10,6,5,10,13,12,16,17,19,5,4,10,13,13,17,14,13,5,6,11,19,17,41,29,23,4,5,11,19,16,28,32,23,6,5,11,23,19,40,49,32,6,5,11,25,18,34,40,27,5,1336.0,4.0,49.0,13.92,96.0,0.746872475558601,4.358532905578613,6.809131622314453
14时32分11秒.368,6,13,26,18,32,36,41,5,5,5,5,5,6,6,6,6,6,5,6,5,5,5,6,5,6,9,14,12,16,17,21,5,5,9,13,12,16,15,14,4,5,9,9,9,10,10,10,5,6,10,13,12,16,17,19,6,5,10,13,13,17,17,13,5,5,11,21,17,42,30,23,5,6,11,18,16,28,32,23,4,5,11,23,19,39,49,32,5,4,11,25,18,34,41,27,4,1350.0,4.0,49.0,14.06,96.0,0.7394937652249572,4.358532905578613,6.809131622314453
14时32分11秒.469,5,12,26,18,32,36,41,5,5,5,5,4,5,5,5,7,5,6,6,5,5,5,5,6,4,11,13,12,16,17,21,5,5,9,13,12,15,17,14,5,6,7,7,8,7,8,8,6,5,10,13,12,16,17,19,5,6,10,13,13,17,16,13,6,6,10,21,17,43,30,23,6,5,10,18,16,28,32,23,5,5,13,24,19,39,50,32,5,5,11,25,18,34,41,27,5,1342.0,4.0,50.0,13.98,96.0,0.752959148452887,4.367362022399902,6.823398113250732
14时32分11秒.568,5,12,26,18,32,36,41,5,5,6,4,5,5,5,4,5,5,5,6,5,5,5,5,5,5,10,15,12,16,17,21,5,4,10,13,11,15,16,14,6,5,8,9,8,10,10,9,5,5,10,13,12,16,17,19,5,6,9,13,13,16,15,15,5,5,11,21,17,44,29,23,4,5,10,18,16,29,32,24,5,5,11,23,18,39,50,32,6,5,11,25,20,34,41,28,5,1344.0,4.0,50.0,14.0,96.0,0.7564911840627264,4.367362022399902,6.823398113250732
14时32分11秒.670,5,12,26,18,31,35,41,5,6,5,5,5,6,5,5,6,5,5,6,5,5,5,5,6,6,11,14,12,16,17,20,4,5,9,13,10,15,16,14,5,5,8,9,5,5,10,9,5,5,10,13,12,16,17,19,5,6,9,13,13,16,15,14,5,5,11,21,17,44,29,23,5,5,10,18,16,27,32,22,5,6,11,23,18,41,50,32,5,5,11,25,19,34,41,28,5,1333.0,4.0,50.0,13.89,96.0,0.7598148200041501,4.353713512420654,6.82933235168457
14时32分11秒.768,6,11,26,18,31,35,38,5,5,5,6,5,4,5,5,5,5,6,5,5,5,5,5,5,6,10,14,12,16,17,20,5,5,10,13,11,15,15,16,5,5,6,9,7,7,7,9,5,5,10,15,12,16,17,19,6,6,10,13,12,16,15,13,6,7,11,21,17,43,30,23,5,5,11,20,16,30,32,23,5,6,11,23,18,40,49,32,6,5,11,24,19,34,41,27,5,1337.0,4.0,49.0,13.93,96.0,0.7470027745777398,4.353713512420654,6.82933235168457
14时32分11秒.869,8,11,26,18,31,35,38,5,5,5,5,6,5,6,6,5,5,6,6,6,6,4,6,5,4,9,13,12,16,17,20,5,6,9,13,11,15,15,14,5,5,8,9,9,10,10,9,5,5,10,14,14,16,17,19,5,6,9,13,12,15,14,12,5,5,11,21,17,43,33,23,6,4,11,19,16,28,33,24,5,5,13,23,18,41,49,32,5,5,14,24,18,34,41,27,6,1348.0,4.0,49.0,14.04,96.0,0.7405983678531126,4.353713512420654,6.82933235168457
