device,recording,sample_rate_hz,channels,frames,method,mean_total_adc,std_total_adc,peak_to_peak_adc,first_difference_std,roughness_retention
fabric,织物垫 500 g (新格式),55.6,96,12049,ema_0.35s,17377.650667068607,9150.88997847819,23181.518606521655,37.795232059064304,0.45557161932683565
fabric,织物垫 500 g (新格式),55.6,96,12049,ema_0.8s,17377.63384600635,9102.022613146655,23174.06620711724,26.931131613428654,0.32461923293023887
fabric,织物垫 500 g (新格式),55.6,96,12049,median3_ema,17377.679795338623,9135.03808532475,23178.07321992841,32.808945445333464,0.3954685178696165
fabric,织物垫 500 g (新格式),55.6,96,12049,iir1_0.5hz,17377.651377424,9154.158092923111,23182.303483096526,39.138639990087,0.4717646281591692
fabric,织物垫 500 g (新格式),55.6,96,12049,iir2_0.5hz,17377.650878169537,9164.821680104738,24147.17073678109,36.468216569120756,0.43957619972786033
fabric,织物垫 500 g (新格式),55.6,96,12049,kalman_fast,17377.65486885488,9169.309605432529,23189.26434425588,49.27594454938014,0.593956449774904
fabric,织物垫 500 g (新格式),55.6,96,12049,kalman_stable,17377.649088045015,9145.395500461547,23180.028376964867,35.79278703515985,0.4314347885031092
fabric,织物垫 500 g (新格式),55.6,96,12049,cell_median3_ema,17376.881770106593,9135.152910718298,23177.96648940595,32.811729371839306,0.39550207442787155
fabric,织物垫 500 g (新格式),55.6,96,12049,dual_state_kalman,17731.18977716212,9373.693338333778,28368.52931892785,12.791852669094737,0.15418889413200942
fabric,织物垫 500 g (新格式),55.6,96,12049,huber_ema,17437.647158069787,9118.009392761396,23174.08066247434,28.22724200273011,0.3402421323466956
fabric,织物垫 500 g (新格式),55.6,96,12049,adaptive_baseline,575.553724798198,2599.166383661499,19145.62577424681,22.13066950598715,0.2667560005419157
fabric,织物垫 1 kg (新格式),55.6,96,12047,raw,35954.321207901834,18880.887454907563,47438.5,193.20343878227246,1.0
fabric,织物垫 1 kg (新格式),55.6,96,12047,ema_0.35s,35953.98535807945,18822.72660279213,47403.413131754016,76.58570310585712,0.3963992752332124
fabric,织物垫 1 kg (新格式),55.6,96,12047,ema_0.8s,35953.523283439696,18724.767625589317,47395.66934364665,54.78606204314302,0.2835667024792623
fabric,织物垫 1 kg (新格式),55.6,96,12047,median3_ema,35953.97539063952,18791.12860928213,47401.34269959295,66.57481737382741,0.3445840187598982
fabric,织物垫 1 kg (新格式),55.6,96,12047,iir1_0.5hz,35954.00867964046,18829.241124061966,47403.66268881001,79.23748652943817,0.4101246180133139
fabric,织物垫 1 kg (新格式),55.6,96,12047,iir2_0.5hz,35953.88044981596,18851.136801024597,49224.33010559034,74.05793887251312,0.38331584230222493
fabric,织物垫 1 kg (新格式),55.6,96,12047,kalman_fast,35954.1711725199,18859.135079855114,47409.81870431009,99.90536731740437,0.5170993225953454
fabric,织物垫 1 kg (新格式),55.6,96,12047,kalman_stable,35953.932122704566,18811.781755255975,47402.69588348662,72.56557891726261,0.375591549377334
fabric,织物垫 1 kg (新格式),55.6,96,12047,cell_median3_ema,35953.12478802034,18791.90075515983,47403.366730865164,66.57987435538159,0.3446101931467831
fabric,织物垫 1 kg (新格式),55.6,96,12047,dual_state_kalman,38064.2967007184,18691.397705725918,59066.922233859616,22.236764774266167,0.11509507757429481
fabric,织物垫 1 kg (新格式),55.6,96,12047,huber_ema,36057.57461179597,18765.029011929164,47395.364402824765,58.32145705533773,0.30186552280294643
fabric,织物垫 1 kg (新格式),55.6,96,12047,adaptive_baseline,1163.5312087665309,5486.598459070865,40712.41920446909,45.23333241937197,0.23412281222565068
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,raw,41138.5530745748,21667.944022951662,56309.0,194.0897309203431,1.0
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,ema_0.35s,41138.43406869996,21597.786396201114,56259.16359944534,84.77156672207242,0.43676482171467257
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,ema_0.8s,41138.2668203773,21468.663863961745,56249.44616497011,62.39277239132633,0.32146354212286027
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,median3_ema,41138.6477382488,21556.43606025836,56255.511538556195,74.81129048474824,0.38544692771742645
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,iir1_0.5hz,41138.44247353451,21606.23404141902,56259.81439587782,87.32551166580598,0.4499234001290129
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,iir2_0.5hz,41138.399202055305,21635.68393620078,58493.78129135754,84.6670014829299,0.43622607482349657
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,kalman_fast,41138.50223673758,21646.139560221378,56266.051989817046,106.6976632254452,0.5497336861641344
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,kalman_stable,41138.42323591303,21589.61936538514,56258.25070829206,82.45115313526424,0.4248094566584939
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,cell_median3_ema,41138.0585239599,21556.779697968454,56255.66224583447,74.82333280946881,0.3855089728584211
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,dual_state_kalman,43755.827046385544,21163.94816063252,65562.57457407024,25.642972794409673,0.13211916299133764
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,huber_ema,41262.55064881887,21530.364397979967,56249.44907163294,67.52897498368309,0.34792657325800425
fabric,织物垫 1.5 kg (新格式),58.8,96,12053,adaptive_baseline,1462.5429844424477,6575.904441474876,46791.56533222852,53.45901597046409,0.275434541111319
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,raw,36834.47948810147,9981.119196261543,42612.0,110.0270985159964,1.0
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,ema_0.35s,36834.47255267325,9962.10780688844,42557.07678710035,28.170147066203636,0.2560291732323387
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,ema_0.8s,36834.46458815782,9931.8459467101,42548.02660732471,19.82239433041655,0.1801592025762149
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,median3_ema,36834.71359667261,9952.443138632809,42554.73267806916,24.27694365621238,0.2206451318234376
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,iir1_0.5hz,36834.472958314225,9964.162154729715,42557.99146006366,29.137713895845074,0.26482306894250107
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,iir2_0.5hz,36834.47047003106,9970.728209152767,44345.57521137201,26.929358421815373,0.24475205458499136
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,kalman_fast,36834.47634689368,9974.84039640427,42571.27260035379,38.81215321441101,0.3527508562699058
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,kalman_stable,36834.472413518764,9961.599231008155,42556.834725994275,27.921550109636232,0.2537697575073002
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,cell_median3_ema,36834.202209518306,9952.824525463082,42555.68210744411,24.27366411653772,0.22061532516926882
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,dual_state_kalman,36992.309486304184,9889.514719154235,49456.38502131233,8.575956401468382,0.07794403848813261
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,huber_ema,36867.52025871515,9930.614128164174,42545.6670764007,20.90563587376435,0.19000442759767008
fabric,织物垫 1 kg 长时保持 (20 min),62.5,96,61808,adaptive_baseline,245.47927548106566,1995.1062067637004,31149.803735652957,15.563203821982167,0.14144882517027835
fabric,织物垫 空载 20 min,58.8,96,58871,raw,97.58505910814475,13.483294826999238,96.0,5.085607659223127,1.0
fabric,织物垫 空载 20 min,58.8,96,58871,ema_0.35s,97.57386594956613,12.746464849302015,75.04499806654113,0.2157198279425452,0.04241770942579915
fabric,织物垫 空载 20 min,58.8,96,58871,ema_0.8s,97.55979626072697,12.696051525684206,73.20946092628031,0.0984193073585273,0.01935251674006676
fabric,织物垫 空载 20 min,58.8,96,58871,median3_ema,97.52745147663144,12.732127205374697,74.37732543121116,0.12250974278336486,0.024089499425144278
fabric,织物垫 空载 20 min,58.8,96,58871,iir1_0.5hz,97.57463550919334,12.752580673910128,75.21220698285853,0.19323390018391418,0.037996226435885225
fabric,织物垫 空载 20 min,58.8,96,58871,iir2_0.5hz,97.56994438748464,12.754252688836706,74.40635269142552,0.06483254876597482,0.01274824035007816
fabric,织物垫 空载 20 min,58.8,96,58871,kalman_fast,97.58035770093394,12.810424344827046,78.5283841091549,0.4630554973917347,0.09105214723985817
fabric,织物垫 空载 20 min,58.8,96,58871,kalman_stable,97.57288013359897,12.74119330743901,74.82384974743874,0.19943667776637414,0.039215899284853584
fabric,织物垫 空载 20 min,58.8,96,58871,cell_median3_ema,96.03202139619054,12.636407611618129,73.67464467518437,0.12263718208535225,0.02411455824024109
fabric,织物垫 空载 20 min,58.8,96,58871,dual_state_kalman,97.58583839359443,12.757473872027367,74.44827897395275,0.13439868212462353,0.026427261230205508
fabric,织物垫 空载 20 min,58.8,96,58871,huber_ema,97.56902938750348,12.69664751976653,73.20783740466847,0.09778335246222433,0.01922746680721368
fabric,织物垫 空载 20 min,58.8,96,58871,adaptive_baseline,8.32369162282639,4.569269134693826,62.505190222767084,0.07268519156444081,0.01429233170054336
