case,load_type,model,leakage,method,rmse,total_ratio,peak_ratio,area_ratio,iou,centroid_shift_cells,noncontact_residual_ratio
local_edge,local,mismatch,0.16,spatial_median,6.516347728438345,0.987006932547236,1.0001188487915482,1.3191489361702127,0.7580645161290323,0.01806619599429997,0.01117100955258447
local_edge,local,mismatch,0.16,local_correction,1.4800519413207107,1.000101205017958,1.0034392365554867,1.0851063829787233,0.9215686274509803,0.01738402064453268,0.0030114327596771364
local_edge,local,mismatch,0.16,richardson_lucy,1.3868813156436866,0.999747809796654,1.003448210630089,1.0638297872340425,0.94,0.016906956334937554,0.0026781991698884254
local_edge,local,matched,0.28,raw,7.417472313136454,1.0000920208381578,1.0024754322036742,1.372340425531915,0.7286821705426356,0.0021492894762140382,0.020618489886499256
local_edge,local,matched,0.28,hard_gate,6.3312440966607255,0.98166332232283,1.0024754322036742,1.0212765957446808,0.9791666666666666,0.0012248209135807707,0.002189791371171138
local_edge,local,matched,0.28,spatial_median,9.060021753803941,0.9886369608709273,1.0013241656542617,1.3936170212765957,0.7175572519083969,0.00547578173516366,0.020859450444626032
local_edge,local,matched,0.28,local_correction,0.37019402038516847,1.000553113883663,1.0057703817759434,1.0,1.0,0.0019801970323796813,0.0005393331784839454
local_edge,local,matched,0.28,richardson_lucy,0.4692944421976448,1.000106276245252,1.0066626717917133,1.0,1.0,0.002089084619008182,0.0008633575709549559
local_edge,local,mismatch,0.28,raw,7.499034631054771,1.000043059268316,1.00354385657985,1.3617021276595744,0.734375,0.03154027158373648,0.019828224847615695
local_edge,local,mismatch,0.28,hard_gate,6.740048248111319,0.985249055722707,1.00354385657985,1.0425531914893618,0.9591836734693877,0.0381093290887756,0.005034221302006658
local_edge,local,mismatch,0.28,spatial_median,9.044557754940193,0.9880343011991147,1.0002566421971066,1.3829787234042554,0.7230769230769231,0.03309773411638095,0.019512738181255776
local_edge,local,mismatch,0.28,local_correction,2.8425626583921093,1.0006235054122126,1.0069155978890527,1.127659574468085,0.8867924528301887,0.03228207862178555,0.0054473922450135066
local_edge,local,mismatch,0.28,richardson_lucy,2.5498078440743526,1.000054115774024,1.0069033370376534,1.1170212765957446,0.8952380952380953,0.0316538232461071,0.004367807071609678
local_multi,local,matched,0.08,raw,3.43628225288955,0.9999969326499255,1.0040615294726851,1.1991869918699187,0.8338983050847457,0.001977321125161848,0.005212731742844666
local_multi,local,matched,0.08,hard_gate,2.6955553121423375,0.994784200907081,1.0040615294726851,1.0,1.0,0.032553503820409675,0.0
local_multi,local,matched,0.08,spatial_median,9.163761502209027,0.9904995562216657,1.0010532888144934,1.1951219512195121,0.8367346938775511,0.09097046087412411,0.0049728589880640404
local_multi,local,matched,0.08,local_correction,0.45402182921999745,1.0002933109884613,1.004431800728055,1.0,1.0,0.002887419059288974,0.00029934307895116216
local_multi,local,matched,0.08,richardson_lucy,0.5033460664923449,0.9999969326499256,1.004431800743257,1.0,1.0,0.001933317486267944,0.00035819266705484356
local_multi,local,mismatch,0.08,raw,3.446061497480939,0.9998671420243324,1.0035907681359901,1.1910569105691058,0.8395904436860068,0.008209440990853785,0.005010606596127803
local_multi,local,mismatch,0.08,hard_gate,2.7202591689943083,0.9948565354282045,1.0035907681359901,1.0,1.0,0.0363086349718872,0.0
local_multi,local,mismatch,0.08,spatial_median,9.144389521447954,0.9905096004950739,1.0011794688060531,1.1829268292682926,0.845360824742268,0.09675722445470644,0.004812766097842312
local_multi,local,mismatch,0.08,local_correction,1.1652349743435635,1.0000374956342584,1.0039176065036617,1.016260162601626,0.984,0.007790040568251151,0.001301716388193196
local_multi,local,mismatch,0.08,richardson_lucy,1.155583277631274,0.9998671420243324,1.0039176084938903,1.008130081300813,0.9919354838709677,0.008181013428848243,0.0012567844366916296
local_multi,local,matched,0.16,raw,6.834206076858509,0.9998381470633234,1.0035671804566189,1.2886178861788617,0.7760252365930599,0.0033393464953521274,0.010309573279510697
local_multi,local,matched,0.16,hard_gate,5.396275942231506,0.9895285737838128,1.0035671804566189,1.0,1.0,0.06798793791672561,0.0
local_multi,local,matched,0.16,spatial_median,10.881998491521971,0.9907724342231081,1.0010501563371428,1.2886178861788617,0.7760252365930599,0.09099939142984366,0.010041411060172175
local_multi,local,matched,0.16,local_correction,0.4471036251033532,1.0001969999306257,1.0043203014580901,1.0,1.0,0.0013434311664970793,0.00023502641252707784
local_multi,local,matched,0.16,richardson_lucy,0.5483730290059384,0.9998381470633236,1.0043217916381038,1.0,1.0,0.003343140579786253,0.0004413359991559929
local_multi,local,mismatch,0.16,raw,6.80352145221431,1.0002791215389133,1.003304068838164,1.2804878048780488,0.780952380952381,0.0167742979838796,0.009982523665201762
local_multi,local,mismatch,0.16,hard_gate,5.348741861317563,0.9902965978737116,1.003304068838164,1.0,1.0,0.07228632424637593,0.0
local_multi,local,mismatch,0.16,spatial_median,10.780591514399909,0.9911865598203099,1.0013497704315066,1.2804878048780488,0.780952380952381,0.0981695987835681,0.009636628778514112
local_multi,local,mismatch,0.16,local_correction,2.320091494549144,1.0005050716574146,1.0037356047802943,1.0772357723577235,0.9283018867924528,0.01642223605265674,0.002510821113785216
local_multi,local,mismatch,0.16,richardson_lucy,2.245578443818006,1.0002791215389135,1.0037352546242952,1.0609756097560976,0.9425287356321839,0.016783320238019466,0.0022893778978662037
local_multi,local,matched,0.28,raw,11.97327912880185,1.0003034054220723,1.0042680511404898,1.3252032520325203,0.754601226993865,0.0005351317685544987,0.018367745103100696
local_multi,local,matched,0.28,hard_gate,9.399878654607072,0.9819356603189715,1.0042680511404898,1.0,1.0,0.11808787612367547,0.0
local_multi,local,matched,0.28,spatial_median,14.628418649289198,0.9916098439939327,1.0014108413396896,1.3089430894308942,0.7639751552795031,0.08423821629352675,0.017923570922878846
local_multi,local,matched,0.28,local_correction,0.5929681318485767,1.0006051525618553,1.0060066469688522,1.0,1.0,0.0016964916798002608,0.00044024687624323085
local_multi,local,matched,0.28,richardson_lucy,0.8539760699594467,1.0003034054220723,1.0060252811621402,1.0,1.0,0.0004921666460440629,0.0007830838779995155
local_multi,local,mismatch,0.28,raw,11.867338359750182,1.0000564310005435,1.0036908693360638,1.2967479674796747,0.7711598746081505,0.031198820729636825,0.017384467714911356
local_multi,local,mismatch,0.28,hard_gate,9.759045868072413,0.9840399431903387,1.0036908693360638,1.0121951219512195,0.9879518072289156,0.1307150424633309,0.001367979904706634
local_multi,local,mismatch,0.28,spatial_median,14.477205127402815,0.9912275795336201,1.0010758643122724,1.2926829268292683,0.7735849056603774,0.10633467473401345,0.016906831529544242
local_multi,local,mismatch,0.28,local_correction,4.318881638903302,1.0005247320028219,1.0056538227262422,1.1504065040650406,0.8692579505300353,0.02987127115346552,0.004590661729740235
local_multi,local,mismatch,0.28,richardson_lucy,4.057509051833139,1.0000564310005435,1.0056211486593178,1.113821138211382,0.8978102189781022,0.03127564157364454,0.0037966511834005936
global_uniform,global,matched,0.08,raw,5.366514466316942,1.0000662437363388,1.0085544528379038,1.0740740740740742,0.9310344827586207,0.0010522868537214483,0.0019633994080369994
global_uniform,global,matched,0.08,hard_gate,3.923058230162612,0.9981028443283017,1.0085544528379038,1.0,1.0,0.00061928684910263,0.0
global_uniform,global,matched,0.08,spatial_median,18.965345394468137,0.9986519085075232,1.0041303098867198,1.0740740740740742,0.9310344827586207,0.0012847970678675068,0.0019476753569995682
global_uniform,global,matched,0.08,local_correction,1.4184848957628373,1.000149231227758,1.009155641214319,1.0,1.0,0.0007610666649573086,8.241650420830857e-05
global_uniform,global,matched,0.08,richardson_lucy,1.4431079461287095,1.0000662437363388,1.0091556412047133,1.0,1.0,0.0010454770102621878,0.00010472151849056228
global_uniform,global,mismatch,0.08,raw,5.167773629585307,1.0000103268877303,1.0082832839093052,1.0740740740740742,0.9310344827586207,0.010181029047390046,0.0018526748274111252
global_uniform,global,mismatch,0.08,hard_gate,3.7785680362287106,0.998157652060319,1.0082832839093052,1.0,1.0,0.005854598811833411,0.0
global_uniform,global,mismatch,0.08,spatial_median,18.86329876481712,0.9985531734081001,1.003289719489692,1.0740740740740742,0.9310344827586207,0.010463592427924155,0.0018349396277938675
global_uniform,global,mismatch,0.08,local_correction,2.029126761697785,1.0000437752777294,1.0087909263959787,1.0164609053497942,0.9838056680161943,0.010119867511296116,0.00042817917767381977
global_uniform,global,mismatch,0.08,richardson_lucy,1.9960421195455098,1.0000103268877303,1.0087909263959787,1.0147462277091908,0.9854680635349781,0.010179528834279104,0.00041105285236811204
global_uniform,global,matched,0.16,raw,10.488584426048423,1.0000053551548385,1.008586744270168,1.075445816186557,0.9298469387755102,0.001019905785838727,0.0039307962922920485
global_uniform,global,matched,0.16,hard_gate,7.534528943220414,0.9960745588625464,1.008586744270168,1.0,1.0,0.0006379639376446155,0.0
global_uniform,global,matched,0.16,spatial_median,20.510620655157872,0.9986203159925806,1.003953123066441,1.0740740740740742,0.9310344827586207,0.0009370151232462022,0.003889536027834319
global_uniform,global,matched,0.16,local_correction,1.5187980422782061,1.0000867348298546,1.0100823659160425,1.0,1.0,0.0009366392405257265,8.480650583701324e-05
global_uniform,global,matched,0.16,richardson_lucy,1.554948047626134,1.0000053551548387,1.0100823654794455,1.0,1.0,0.0010142482649249732,0.00013609757616056209
global_uniform,global,mismatch,0.16,raw,10.1210867329577,0.9999725401043036,1.0089894717381216,1.0751028806584362,0.9301435406698565,0.018405503489661038,0.003714048183989529
global_uniform,global,mismatch,0.16,hard_gate,7.2756233262223144,0.9962584919203139,1.0089894717381216,1.0,1.0,0.009323716314217691,0.0
global_uniform,global,mismatch,0.16,spatial_median,20.258085806278586,0.9985786481949701,1.0031013018151436,1.0740740740740742,0.9310344827586207,0.018614246960147338,0.0036793097908699797
global_uniform,global,mismatch,0.16,local_correction,3.517273044058017,1.0000206567939747,1.0106550851953324,1.031207133058985,0.969737279680745,0.018799934991797884,0.0008840338402023577
global_uniform,global,mismatch,0.16,richardson_lucy,3.261115684208299,0.9999725401043036,1.01068063892779,1.0246913580246915,0.9759036144578314,0.018411212351639103,0.0007817336014405965
global_uniform,global,matched,0.28,raw,18.25610102502434,0.999971985255509,1.0076734327885233,1.075445816186557,0.9298469387755102,0.0007281274276459487,0.006875125844433332
global_uniform,global,matched,0.28,hard_gate,18.153556180437324,0.9997462083708701,1.0076734327885233,1.0713305898491083,0.9334186939820742,0.0005990147776888917,0.006649348959794349
global_uniform,global,matched,0.28,spatial_median,24.74869858517849,0.9986340127932408,1.003183650721622,1.0740740740740742,0.9310344827586207,0.0008824490543950405,0.006829071766057529
global_uniform,global,matched,0.28,local_correction,1.86274900099631,1.0000601535808564,1.0117664706176421,1.0,1.0,0.0007231023060440919,8.724749983675333e-05
global_uniform,global,matched,0.28,richardson_lucy,1.916347231343359,0.9999719852555092,1.0130271524624141,1.0,1.0,0.0007244525685033218,0.0001530849787527638
global_uniform,global,mismatch,0.28,raw,17.516347698272522,1.0000270069903967,1.0081110466120085,1.075445816186557,0.9298469387755102,0.031506069420845,0.006468702015570463
global_uniform,global,mismatch,0.28,hard_gate,15.943838431235223,0.9972146963738066,1.0081110466120085,1.036008230452675,0.9652432969215492,0.034859942580563553,0.003656391398980191
global_uniform,global,mismatch,0.28,spatial_median,24.12585363497447,0.9987016079266984,1.0036150633190388,1.0740740740740742,0.9310344827586207,0.030758885482777797,0.00640262648974363
global_uniform,global,mismatch,0.28,local_correction,6.2740142821454015,1.0001532163184665,1.010777818110759,1.0387517146776406,0.9626939584021129,0.032697790738256696,0.0016693589952386303
global_uniform,global,mismatch,0.28,richardson_lucy,5.246033918535306,1.0000270069903967,1.0101866401358972,1.0366941015089164,0.9646046973205425,0.03152615430119711,0.0012767741860145359
global_gradient,global,matched,0.08,raw,5.291871350466864,1.000079597682954,0.9939035011487217,1.0727023319615911,0.9322250639386189,0.002014407728261607,0.0019447564789500653
global_gradient,global,matched,0.08,hard_gate,3.885949100591792,0.9981348412040039,0.9939035011487217,1.0,1.0,0.007012202918790952,0.0
global_gradient,global,matched,0.08,spatial_median,19.102233936444602,0.9981977396271613,0.9836206645844292,1.0727023319615911,0.9322250639386189,0.013606422994085076,0.001925638967022343
global_gradient,global,matched,0.08,local_correction,1.4066470966616338,1.0001714771343562,1.003947017903354,1.0,1.0,0.0018984198604512432,7.200198954798514e-05
global_gradient,global,matched,0.08,richardson_lucy,1.4271860527921598,1.000079597682954,1.0030198855351393,1.0,1.0,0.0020015162011596064,9.64652725587354e-05
global_gradient,global,mismatch,0.08,raw,5.1986844090279725,0.9999909032950782,0.9946831269119154,1.070644718792867,0.9340166559897501,0.011193280590980846,0.0019361144540116287
global_gradient,global,mismatch,0.08,hard_gate,3.5755798859453223,0.9980547888410666,0.9946831269119154,1.0,1.0,0.0007012137492202732,0.0
global_gradient,global,mismatch,0.08,spatial_median,19.036398554653704,0.998185428648197,0.9831872047251143,1.0716735253772292,0.93312,0.001949205594571888,0.001916619504845698
global_gradient,global,mismatch,0.08,local_correction,2.063253441385506,1.0000191480579204,0.9995414534662399,1.0181755829903978,0.9821488716739643,0.011131089677938232,0.0005069871756833143
global_gradient,global,mismatch,0.08,richardson_lucy,2.0183500867011355,0.9999909032950782,0.9999994268098316,1.0178326474622772,0.9824797843665768,0.011188160760731194,0.0004872887478691019
global_gradient,global,matched,0.16,raw,10.419295177813881,0.9999384932469992,0.9953861812076812,1.0747599451303156,0.9304403318442884,0.0007675253054677165,0.003930798258060642
global_gradient,global,matched,0.16,hard_gate,7.490484871534359,0.9960076949889386,0.9953861812076812,1.0,1.0,0.012423770467310134,0.0
global_gradient,global,matched,0.16,spatial_median,20.67970215338031,0.9980861698495114,0.9837753150537153,1.0740740740740742,0.9310344827586207,0.011216006843874356,0.003910020528895861
global_gradient,global,matched,0.16,local_correction,1.5383375567169315,1.0000177877880034,1.0054325058435583,1.0,1.0,0.0010897171707273622,8.252545236035154e-05
global_gradient,global,matched,0.16,richardson_lucy,1.5734470814025383,0.9999384932469996,1.0042717534893173,1.0,1.0,0.0007491609131907302,0.00013750439260980322
global_gradient,global,mismatch,0.16,raw,10.074200955049692,0.9999666015437959,0.9961729786913824,1.0740740740740742,0.9310344827586207,0.018126819195909888,0.003813441358657456
global_gradient,global,mismatch,0.16,hard_gate,6.828685178681791,0.9961531601851386,0.9961729786913824,1.0,1.0,0.003391051507784179,0.0
global_gradient,global,mismatch,0.16,spatial_median,20.356835492047534,0.9980877582811695,0.9856648073642923,1.0740740740740742,0.9310344827586207,0.007287393800602566,0.0037700244286850604
global_gradient,global,mismatch,0.16,local_correction,3.506424862828128,1.0000285543798273,0.9974589001230487,1.0185185185185186,0.9818181818181818,0.01850634440203769,0.0009967480995765783
global_gradient,global,mismatch,0.16,richardson_lucy,3.2176257852589973,0.9999666015437959,0.9972776781732653,1.0185185185185186,0.9818181818181818,0.01812194352649766,0.0008899762957292444
global_gradient,global,matched,0.28,raw,18.135704286458736,0.9999666967098529,0.9937566279536328,1.075445816186557,0.9298469387755102,0.000509350218347342,0.006863945527324137
global_gradient,global,matched,0.28,hard_gate,16.295590020364564,0.9964947896816984,0.9937566279536328,1.0281207133058985,0.9726484322881921,0.051834446215868045,0.0033920384991696475
global_gradient,global,matched,0.28,spatial_median,24.830197547352395,0.9982160506521855,0.984206193426808,1.0740740740740742,0.9310344827586207,0.009609414964535216,0.006826182159245953
global_gradient,global,matched,0.28,local_correction,1.82061377813593,1.0000812981690543,1.0057530987067942,1.0,1.0,0.0008234848087956219,0.00010471827243284365
global_gradient,global,matched,0.28,richardson_lucy,1.873078634548691,0.999966696709853,1.0035844258231847,1.0,1.0,0.0005227768579667288,0.0001533123840338089
global_gradient,global,mismatch,0.28,raw,17.54448107308169,1.0000553601060262,0.9946580659644397,1.0751028806584362,0.9301435406698565,0.03147565883531049,0.006669686167115754
global_gradient,global,mismatch,0.28,hard_gate,15.633671601702398,0.9962470911477214,0.9946580659644397,1.0185185185185186,0.9818181818181818,0.06392634482542392,0.002861417208810954
global_gradient,global,mismatch,0.28,spatial_median,24.169170641210012,0.998229394165439,0.9825451425048386,1.0740740740740742,0.9310344827586207,0.021261797465223605,0.006599810742448503
global_gradient,global,mismatch,0.28,local_correction,6.382554410834183,1.0001982875726945,0.9981629788777154,1.034636488340192,0.9665230361286046,0.033217456168021665,0.0018920233045718266
global_gradient,global,mismatch,0.28,richardson_lucy,5.226705408424367,1.000055360106026,0.9968571234016129,1.022633744855967,0.9778672032193159,0.03146017889903776,0.0014763665078320546
