##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时35分54秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时35分56秒.856,4,40,40,41,41,36,22,5,5,21,21,21,22,20,18,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,948,894,955,785,144,34,6,6,1064,1229,1319,1389,154,34,6,5,921,965,1333,1382,165,34,6,6,1078,1220,1544,1428,156,34,6,5,1072,1364,1545,1366,155,34,5,6,645,833,776,646,141,33,5,5,71,73,72,72,64,26,5,4,79,79,80,81,62,26,5,29134.0,4.0,1545.0,303.48,96.0,1.6073317734112524,3.2171220779418945,6.99315881729126
14时35分56秒.952,5,40,40,40,40,36,22,6,5,20,20,19,19,18,17,5,6,4,6,5,6,6,5,5,5,5,6,6,5,5,6,5,5,953,896,956,785,144,34,6,5,1061,1229,1315,1388,154,34,5,5,921,965,1333,1383,164,34,7,5,1080,1220,1542,1426,158,34,5,5,1072,1365,1545,1366,155,33,5,5,645,833,776,645,142,33,6,5,71,73,73,72,64,26,5,7,79,79,81,81,63,26,6,29132.0,4.0,1545.0,303.46,96.0,1.6072178987540453,3.2171220779418945,6.99315881729126
14时35分57秒.069,5,40,40,40,40,36,22,6,6,20,20,19,19,20,16,5,6,5,5,5,5,6,5,5,5,5,6,6,5,5,5,6,5,953,896,958,785,145,34,5,6,1064,1232,1317,1388,156,34,5,5,922,965,1335,1383,167,34,5,5,1080,1221,1542,1427,160,34,5,5,1071,1364,1545,1366,156,34,5,5,645,832,776,644,144,33,6,5,72,73,73,74,64,26,6,5,79,80,81,81,63,25,5,29155.0,5.0,1545.0,303.7,96.0,1.6065671988139787,3.2183330059051514,6.994872093200684
14时35分57秒.155,4,41,44,42,40,37,22,5,5,20,20,19,21,19,15,5,6,5,4,5,7,5,5,6,5,6,5,5,5,5,4,6,6,953,894,958,785,147,34,5,5,1062,1231,1319,1388,157,34,5,5,922,966,1335,1382,167,35,5,5,1082,1221,1544,1428,160,34,6,6,1071,1364,1545,1367,156,34,6,5,645,830,775,644,143,33,5,5,73,74,76,74,64,26,6,5,79,79,81,81,64,26,5,29170.0,4.0,1545.0,303.85,96.0,1.6056822380997675,3.2183330059051514,6.994872093200684
14时35分57秒.254,5,40,40,41,40,37,22,5,5,19,20,19,21,19,15,5,5,5,5,7,6,5,6,5,5,5,6,4,5,5,6,5,5,953,894,956,785,146,34,5,5,1063,1231,1320,1389,157,36,6,6,923,967,1336,1382,167,35,6,6,1083,1222,1544,1428,160,35,6,6,1071,1365,1545,1368,157,34,6,6,645,833,778,647,144,34,5,5,73,75,76,74,64,26,5,5,79,80,81,81,64,26,5,29192.0,4.0,1545.0,304.08,96.0,1.605201601331008,3.2183330059051514,6.994872093200684
14时35分57秒.354,6,40,40,41,41,37,22,5,5,19,19,19,20,19,18,6,6,5,5,6,6,6,6,5,5,5,5,5,6,5,5,6,5,953,891,954,784,146,34,6,6,1063,1231,1320,1389,155,35,5,5,924,969,1337,1383,167,35,5,5,1083,1223,1544,1429,160,35,5,5,1071,1365,1545,1368,157,34,5,4,646,834,779,647,144,34,5,6,73,77,76,75,64,27,5,5,77,78,79,80,64,26,5,29190.0,4.0,1545.0,304.06,96.0,1.6056703396831142,3.2196643352508545,6.995786190032959
14时35分57秒.469,6,40,40,41,41,37,22,6,6,19,19,19,20,19,17,5,5,5,6,6,6,7,8,5,5,5,5,6,5,5,5,5,5,953,891,954,784,146,34,6,5,1064,1232,1320,1390,155,35,4,6,924,969,1337,1385,166,35,6,6,1081,1224,1545,1431,159,35,5,6,1070,1365,1547,1370,157,35,6,6,645,834,777,646,143,34,5,5,73,75,74,74,64,27,5,5,77,78,79,79,64,26,5,29194.0,4.0,1547.0,304.1,96.0,1.6061339462413646,3.2196643352508545,6.995786190032959
14时35分57秒.568,5,40,40,41,41,37,21,5,5,21,21,19,20,19,16,5,5,5,6,5,7,6,5,5,5,6,5,4,4,5,6,5,5,952,890,954,784,146,34,5,5,1064,1232,1321,1392,157,35,5,5,927,969,1338,1387,166,35,5,5,1082,1224,1546,1432,160,35,5,6,1070,1366,1548,1371,157,35,6,4,645,832,777,645,143,35,6,4,71,74,74,75,64,27,5,5,77,78,79,80,63,26,6,29196.0,4.0,1548.0,304.12,96.0,1.6070699696450623,3.220235586166382,6.995170593261719
14时35分57秒.653,5,40,40,41,40,36,21,4,6,20,20,19,19,19,16,6,6,5,5,6,5,6,6,4,5,5,5,5,6,5,5,5,5,951,890,953,784,146,35,4,5,1063,1232,1321,1393,156,35,5,5,925,970,1338,1387,167,35,6,5,1081,1226,1549,1432,160,35,5,5,1070,1366,1547,1370,157,35,5,6,646,834,777,649,143,35,6,6,72,73,74,75,64,27,5,5,78,80,79,80,63,26,6,29204.0,4.0,1549.0,304.21,96.0,1.6068578129518414,3.220235586166382,6.995170593261719
14时35分57秒.768,5,41,40,41,41,36,22,6,5,20,20,19,19,18,16,5,5,5,6,5,6,6,7,5,5,5,5,6,4,5,5,6,5,951,897,956,784,146,35,5,6,1062,1233,1321,1393,156,35,4,5,925,970,1340,1387,165,35,6,5,1081,1227,1549,1434,160,35,6,4,1070,1367,1547,1370,157,35,5,6,645,832,777,647,143,36,6,6,73,75,76,75,65,27,6,6,78,78,79,80,63,26,5,29224.0,4.0,1549.0,304.42,96.0,1.6063053658327489,3.220235586166382,6.995170593261719
14时35分57秒.868,5,41,40,41,41,37,22,5,5,20,19,19,19,18,16,5,4,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,5,949,894,955,784,147,35,6,5,1061,1233,1322,1393,157,35,5,5,926,972,1340,1389,167,35,6,5,1082,1227,1549,1434,160,35,4,4,1070,1367,1547,1373,157,35,5,6,645,833,778,647,143,35,5,5,73,75,76,75,65,27,5,5,78,78,80,79,63,26,6,29222.0,4.0,1549.0,304.4,96.0,1.6069986344614877,3.2206897735595703,6.997091293334961
14时35分57秒.953,5,41,41,41,42,37,22,5,5,19,19,19,21,18,16,6,5,5,7,6,6,7,5,5,5,5,5,5,5,6,5,5,6,952,896,958,787,146,36,5,6,1063,1233,1322,1391,157,35,5,6,925,972,1341,1387,167,35,6,5,1082,1228,1549,1435,161,36,5,5,1070,1368,1547,1371,157,35,5,5,645,833,777,646,144,35,5,4,73,75,75,76,65,27,6,5,77,78,80,79,62,26,5,29243.0,4.0,1549.0,304.61,96.0,1.605883336327056,3.2206897735595703,6.997091293334961
14时35分58秒.053,5,39,39,41,40,35,22,5,5,19,19,19,20,18,16,5,5,5,5,5,5,5,8,5,5,5,5,5,4,4,5,4,6,950,892,954,786,146,35,5,4,1057,1233,1321,1390,157,35,5,4,925,971,1340,1387,167,35,5,5,1084,1228,1549,1434,161,35,6,4,1070,1368,1547,1370,157,35,6,5,646,833,778,646,144,35,6,5,73,75,75,75,65,27,5,5,77,78,77,79,61,26,4,29196.0,4.0,1549.0,304.12,96.0,1.6079628822289573,3.2206897735595703,6.997091293334961
14时35分58秒.151,4,39,39,41,40,36,22,5,5,19,19,19,20,18,16,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,6,950,894,957,785,146,35,6,5,1059,1232,1321,1390,157,35,5,5,925,971,1338,1387,168,35,6,5,1084,1228,1550,1434,161,35,5,6,1071,1368,1547,1370,159,35,5,6,646,833,776,646,144,35,6,5,73,75,75,75,65,26,5,6,77,76,77,77,61,26,6,29202.0,3.0,1550.0,304.19,96.0,1.6077384517351305,3.2198479175567627,6.997774124145508
14时35分58秒.254,5,39,41,41,40,36,22,5,5,19,19,21,20,20,16,5,4,5,5,5,6,6,5,5,5,5,6,6,5,5,5,5,5,953,894,957,785,149,35,5,5,1058,1231,1321,1389,158,36,5,5,925,971,1338,1384,169,35,5,6,1085,1228,1550,1434,164,35,6,5,1071,1368,1547,1369,160,35,6,5,646,833,776,646,146,35,5,5,73,75,75,75,65,27,6,5,77,76,77,79,61,26,5,29223.0,4.0,1550.0,304.41,96.0,1.6059138574716592,3.2198479175567627,6.997774124145508
14时35分58秒.355,5,39,41,41,40,36,22,6,6,19,19,19,20,20,16,5,6,6,5,5,6,5,6,5,5,5,7,6,6,5,5,5,6,953,892,957,785,148,35,5,5,1058,1233,1320,1394,159,36,6,5,925,972,1338,1387,169,35,5,5,1083,1227,1549,1432,163,35,5,6,1070,1368,1546,1369,160,35,5,6,644,829,772,644,146,35,6,5,74,75,76,75,65,27,5,6,77,76,77,77,61,25,5,29216.0,5.0,1549.0,304.33,96.0,1.6058763042072675,3.2210090160369873,6.993222713470459
14时35分58秒.455,5,39,41,41,40,37,22,5,5,21,19,19,20,18,15,5,7,6,5,6,7,6,5,5,5,5,6,5,5,6,5,5,6,950,892,958,785,148,35,5,6,1057,1232,1320,1393,159,36,6,5,925,971,1340,1387,169,35,6,4,1082,1227,1548,1432,162,35,5,5,1070,1369,1546,1369,160,35,5,5,643,832,772,644,146,35,4,5,74,75,76,76,65,27,6,6,77,76,77,77,62,25,5,29211.0,4.0,1548.0,304.28,96.0,1.6060262826775773,3.2210090160369873,6.993222713470459
14时35分58秒.553,5,39,40,41,39,37,21,5,6,20,19,18,18,18,15,5,5,5,5,6,5,6,5,5,5,6,5,5,5,5,5,4,4,950,894,958,785,148,34,5,6,1056,1233,1320,1390,160,35,6,5,925,971,1338,1387,169,35,6,5,1081,1227,1545,1432,162,34,5,5,1069,1369,1546,1370,161,34,5,5,643,832,772,644,146,34,4,5,74,75,76,76,65,27,5,5,77,77,78,79,63,25,5,29190.0,4.0,1546.0,304.06,96.0,1.6069269295850312,3.2210090160369873,6.993222713470459
14时35分58秒.652,5,39,40,41,40,37,21,5,5,19,18,18,18,18,15,7,5,6,5,5,6,7,6,6,5,6,6,5,5,5,5,5,5,949,893,958,785,148,34,6,5,1056,1233,1319,1389,158,34,5,5,925,972,1340,1387,168,34,6,6,1081,1226,1545,1430,163,34,6,5,1069,1369,1544,1370,160,34,6,6,643,832,774,644,146,33,6,5,74,75,75,75,65,27,5,5,77,77,78,79,61,25,5,29188.0,5.0,1545.0,304.04,96.0,1.6065659862288921,3.2210497856140137,6.995854377746582
14时35分58秒.769,6,39,40,41,40,37,21,5,7,17,18,18,18,18,15,5,6,5,5,5,8,6,6,6,6,6,6,5,5,5,5,5,6,949,887,955,785,148,34,5,5,1057,1233,1321,1389,157,34,6,6,927,971,1342,1387,168,34,5,5,1082,1226,1547,1431,161,34,6,5,1069,1369,1545,1370,158,34,6,6,643,830,773,643,145,33,5,4,73,73,75,74,65,26,5,5,77,77,79,79,61,25,5,29175.0,4.0,1547.0,303.91,96.0,1.6076925907967532,3.2210497856140137,6.995854377746582
14时35分58秒.870,5,40,41,41,41,38,21,5,6,19,18,18,18,17,15,5,5,6,5,5,6,5,5,5,6,5,6,5,4,5,5,6,6,948,887,954,783,148,33,6,5,1060,1233,1321,1385,159,35,5,6,929,972,1345,1389,169,34,5,5,1084,1226,1547,1431,162,34,4,6,1071,1369,1545,1369,160,34,6,6,643,834,773,643,145,33,4,7,73,76,76,75,65,26,6,6,77,77,79,77,61,25,5,29194.0,4.0,1547.0,304.1,96.0,1.607039486765173,3.2182981967926025,6.996951580047607
14时35分58秒.968,6,41,42,42,41,38,22,5,6,18,18,18,18,19,15,5,6,6,5,5,5,6,5,5,6,6,4,5,5,5,4,5,5,947,888,952,782,148,33,5,6,1061,1235,1322,1388,159,34,5,4,931,975,1349,1389,170,34,5,5,1083,1225,1547,1430,163,35,5,6,1073,1371,1546,1372,160,34,5,7,645,834,773,644,146,33,4,6,76,77,76,78,66,26,4,6,77,78,78,80,63,26,5,29232.0,4.0,1547.0,304.5,96.0,1.6060135343114061,3.2182981967926025,6.996951580047607
14时35分59秒.052,5,42,43,42,43,39,23,5,5,20,18,18,18,18,15,6,4,5,5,6,7,5,6,6,5,5,5,5,5,4,4,5,6,947,889,952,782,148,33,6,4,1062,1234,1324,1387,161,34,8,5,930,975,1349,1389,170,34,5,5,1085,1225,1547,1429,164,35,6,5,1073,1371,1546,1372,161,34,5,5,642,829,771,643,146,33,6,5,74,77,76,77,65,26,6,6,77,78,78,80,64,26,5,29234.0,4.0,1547.0,304.52,96.0,1.6054544609719856,3.2182981967926025,6.996951580047607
14时35分59秒.169,4,42,43,42,43,39,23,5,6,18,18,17,18,18,15,4,5,5,5,6,5,6,5,5,5,5,5,5,5,6,5,5,6,946,888,953,782,149,33,5,5,1061,1233,1324,1387,161,34,6,5,929,973,1348,1387,170,34,6,5,1085,1223,1547,1428,164,35,8,6,1073,1370,1546,1371,162,34,5,5,642,832,772,643,147,33,6,5,76,79,77,77,67,26,5,4,79,78,78,80,62,26,5,29229.0,4.0,1547.0,304.47,96.0,1.6049535324563025,3.220996379852295,6.997280120849609
